id,-|title|-,-|node_summary|-,-|body:value|-,date|field_vactory_date:value|Y-m-d,-|field_vactory_excerpt:value|-,media|field_vactory_media|image,media|field_vactory_media|image_alt,term|field_vactory_news_theme|+
1,News 01,News 01 description,"Nam commodo suscipit quam. Ut varius tincidunt libero. Praesent congue erat at massa. Sed lectus.
Morbi vestibulum volutpat enim. Curabitur ullamcorper ultricies nisi. Donec vitae sapien ut libero venenatis faucibus. Nam eget dui.",2024-01-01,"Nulla neque dolor, sagittis eget, iaculis quis, molestie non, velit. Pellentesque posuere. Quisque rutrum. Morbi vestibulum volutpat enim.
Donec orci lectus, aliquam ut, faucibus non, euismod id, nulla. Sed magna purus, fermentum eu, tincidunt eu, varius ut, felis.",https://www.dropbox.com/scl/fi/chpdhv3rue8758p4a25ul/image_01.jpeg?rlkey=sms8jnzj1aejpu9krvr5pfv97&dl=1,demo 01,Sport
2,News 02,News 02 description,"Proin magna. Sed mollis, eros et ultrices tempus, mauris ipsum aliquam libero, non adipiscing dolor urna a orci.
Praesent egestas neque eu enim. Vestibulum eu odio. Nulla consequat massa quis enim.",2024-01-02,"Phasellus tempus. Nullam vel sem. Duis arcu tortor, suscipit eget, imperdiet nec, imperdiet iaculis, ipsum.
Vestibulum ullamcorper mauris at ligula. Nullam accumsan lorem in dui. Suspendisse eu ligula. Nullam cursus lacinia erat.",https://www.dropbox.com/scl/fi/nxmwrw9buo2fz61m7upun/image_02.jpeg?rlkey=30cwblpjjwqw2g55ab4k83m19&dl=1,demo 02,Culture
3,News 03,News 03 description,"Nulla neque dolor, sagittis eget, iaculis quis, molestie non, velit. Pellentesque posuere. Quisque rutrum. Morbi vestibulum volutpat enim.
Donec orci lectus, aliquam ut, faucibus non, euismod id, nulla. Sed magna purus, fermentum eu, tincidunt eu, varius ut, felis.",2024-01-03,"In ac felis quis tortor malesuada pretium. Vivamus quis mi. Aenean commodo ligula eget dolor. 
Vivamus quis mi. Curabitur blandit mollis lacus. Phasellus gravida semper nisi. Proin magna.",https://www.dropbox.com/scl/fi/l9rpkmum81ukiha1xk4af/image_03.jpeg?rlkey=zbfemsnrxurczfz0qmcxsh992&dl=1,demo 03,Digital
4,News 04,News 04 description,"Phasellus tempus. Nullam vel sem. Duis arcu tortor, suscipit eget, imperdiet nec, imperdiet iaculis, ipsum.
Vestibulum ullamcorper mauris at ligula. Nullam accumsan lorem in dui. Suspendisse eu ligula. Nullam cursus lacinia erat.",2024-01-04,"Nam commodo suscipit quam. Ut varius tincidunt libero. Praesent congue erat at massa. Sed lectus.
Morbi vestibulum volutpat enim. Curabitur ullamcorper ultricies nisi. Donec vitae sapien ut libero venenatis faucibus. Nam eget dui.",https://www.dropbox.com/scl/fi/lqu79ugbjijmb8zz5o6wd/image_04.jpeg?rlkey=0nrzafn1m0c7unvo49mte7bc8&dl=1,demo 04,Sport
5,News 05,News 05 description,"In ac felis quis tortor malesuada pretium. Vivamus quis mi. Aenean commodo ligula eget dolor. 
Vivamus quis mi. Curabitur blandit mollis lacus. Phasellus gravida semper nisi. Proin magna.",2024-01-05,"Proin magna. Sed mollis, eros et ultrices tempus, mauris ipsum aliquam libero, non adipiscing dolor urna a orci.
Praesent egestas neque eu enim. Vestibulum eu odio. Nulla consequat massa quis enim.",https://www.dropbox.com/scl/fi/kd989kr9qfni7klcs07t0/image_05.jpeg?rlkey=f324rocn5tp63m05hwcjakj90&dl=1,demo 05,Culture
6,News 06,News 06 description,"Nam commodo suscipit quam. Ut varius tincidunt libero. Praesent congue erat at massa. Sed lectus.
Morbi vestibulum volutpat enim. Curabitur ullamcorper ultricies nisi. Donec vitae sapien ut libero venenatis faucibus. Nam eget dui.",2024-01-06,"Nulla neque dolor, sagittis eget, iaculis quis, molestie non, velit. Pellentesque posuere. Quisque rutrum. Morbi vestibulum volutpat enim.
Donec orci lectus, aliquam ut, faucibus non, euismod id, nulla. Sed magna purus, fermentum eu, tincidunt eu, varius ut, felis.",https://www.dropbox.com/scl/fi/chpdhv3rue8758p4a25ul/image_01.jpeg?rlkey=sms8jnzj1aejpu9krvr5pfv97&dl=1,demo 06,Digital
7,News 07,News 07 description,"Proin magna. Sed mollis, eros et ultrices tempus, mauris ipsum aliquam libero, non adipiscing dolor urna a orci.
Praesent egestas neque eu enim. Vestibulum eu odio. Nulla consequat massa quis enim.",2024-01-07,"Phasellus tempus. Nullam vel sem. Duis arcu tortor, suscipit eget, imperdiet nec, imperdiet iaculis, ipsum.
Vestibulum ullamcorper mauris at ligula. Nullam accumsan lorem in dui. Suspendisse eu ligula. Nullam cursus lacinia erat.",https://www.dropbox.com/scl/fi/nxmwrw9buo2fz61m7upun/image_02.jpeg?rlkey=30cwblpjjwqw2g55ab4k83m19&dl=1,demo 07,Sport
8,News 08,News 08 description,"Nulla neque dolor, sagittis eget, iaculis quis, molestie non, velit. Pellentesque posuere. Quisque rutrum. Morbi vestibulum volutpat enim.
Donec orci lectus, aliquam ut, faucibus non, euismod id, nulla. Sed magna purus, fermentum eu, tincidunt eu, varius ut, felis.",2024-01-08,"In ac felis quis tortor malesuada pretium. Vivamus quis mi. Aenean commodo ligula eget dolor. 
Vivamus quis mi. Curabitur blandit mollis lacus. Phasellus gravida semper nisi. Proin magna.",https://www.dropbox.com/scl/fi/l9rpkmum81ukiha1xk4af/image_03.jpeg?rlkey=zbfemsnrxurczfz0qmcxsh992&dl=1,demo 08,Culture
9,News 09,News 09 description,"Phasellus tempus. Nullam vel sem. Duis arcu tortor, suscipit eget, imperdiet nec, imperdiet iaculis, ipsum.
Vestibulum ullamcorper mauris at ligula. Nullam accumsan lorem in dui. Suspendisse eu ligula. Nullam cursus lacinia erat.",2024-01-09,"Nam commodo suscipit quam. Ut varius tincidunt libero. Praesent congue erat at massa. Sed lectus.
Morbi vestibulum volutpat enim. Curabitur ullamcorper ultricies nisi. Donec vitae sapien ut libero venenatis faucibus. Nam eget dui.",https://www.dropbox.com/scl/fi/lqu79ugbjijmb8zz5o6wd/image_04.jpeg?rlkey=0nrzafn1m0c7unvo49mte7bc8&dl=1,demo 09,Digital
10,News 10,News 10 description,"In ac felis quis tortor malesuada pretium. Vivamus quis mi. Aenean commodo ligula eget dolor. 
Vivamus quis mi. Curabitur blandit mollis lacus. Phasellus gravida semper nisi. Proin magna.",2024-01-10,"Proin magna. Sed mollis, eros et ultrices tempus, mauris ipsum aliquam libero, non adipiscing dolor urna a orci.
Praesent egestas neque eu enim. Vestibulum eu odio. Nulla consequat massa quis enim.",https://www.dropbox.com/scl/fi/kd989kr9qfni7klcs07t0/image_05.jpeg?rlkey=f324rocn5tp63m05hwcjakj90&dl=1,demo 10,Sport
11,News 11,News 11 description,"Nam commodo suscipit quam. Ut varius tincidunt libero. Praesent congue erat at massa. Sed lectus.
Morbi vestibulum volutpat enim. Curabitur ullamcorper ultricies nisi. Donec vitae sapien ut libero venenatis faucibus. Nam eget dui.",2024-01-11,"Nam commodo suscipit quam. Ut varius tincidunt libero. Praesent congue erat at massa. Sed lectus.
Morbi vestibulum volutpat enim. Curabitur ullamcorper ultricies nisi. Donec vitae sapien ut libero venenatis faucibus. Nam eget dui.",https://www.dropbox.com/scl/fi/chpdhv3rue8758p4a25ul/image_01.jpeg?rlkey=sms8jnzj1aejpu9krvr5pfv97&dl=1,demo 11,Culture
