ID;LONGITUDE;LATITUDE;NOM DE L'AGENCE;DESCRIPTION;CATEGORIE D'AGENCE;PAYS;Ville;ADRESSE SUPPLEMENTAIRE;CODE POSTALE;TELEPHONE;FAX;EMAIL;HORAIRE OUVERTURE;OUVERT SAMEDI
136;-7.556615;33.587458;CASA HAY MOHAMMADI;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer quis pharetra leo. Sed blandit blandit laoreet.;Prive;Morocco;Casablanca;27  bloc Kodia  bloc 5.;80000;05 22 63 33 45;05 22 63 01 01;example@mail.com;8h30 - 16h;Oui
137;-7.646098;33.535099;CASA SIDI MAAROUF;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer quis pharetra leo. Sed blandit blandit laoreet.;Offshore;France;Casablanca;Immeuble 105-N°13-14GH4  Programme Al Moustakbal.;80000;529 012 221;529 012 220;example@mail.com;8h30 - 16h;Non
138;-7.512031;33.608767;CASA BERNOUSSI;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer quis pharetra leo. Sed blandit blandit laoreet.;Publique;Spain;Casablanca;Amal 1. Avenue Bnou Harita. N°108.;80000;05 22 76 33 00;05 22 73 77 78;example@mail.com;8h30 - 16h;Non
139;-7.593527;33.572419;EL FIDA;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer quis pharetra leo. Sed blandit blandit laoreet.;Prive;Morocco;Casablanca;311  bd El Fida. place Sragna;80000;05 22 85 98 60;05 22 81 02 68;example@mail.com;8h30 - 16h;Non
1448;-7.602249;33.582198;CASA MECHOUAR;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer quis pharetra leo. Sed blandit blandit laoreet.;Offshore;France;Casablanca;Angle rue d'Ifni et place Hamidou Al Watani - Résidence Attijariwafa bank;80000;05 22 45 14 14 ;05 22 45 14 24;example@mail.com;8h30 - 16h;Non
1449;-7.604422;33.553649;AIN CHOK;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer quis pharetra leo. Sed blandit blandit laoreet.;Publique;Spain;Casablanca;Quartier les crêtes. Haddaouia 3. Avenue du 2 mars. N°771.;80000;05 22 52 93 40;05 22 50 18 34;example@mail.com;8h30 - 16h;Non
1450;-7.555252;33.564119;SIDI OTHMANE;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer quis pharetra leo. Sed blandit blandit laoreet.;Prive;Morocco;Casablanca;Complex commercial et administratif bd el Akid el Allam hay salama 3;80000;05 29 01 17 37 ;05 29 01 17 36;example@mail.com;8h30 - 16h;Non
1452;-7.618053;33.59488;CASA MED V;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer quis pharetra leo. Sed blandit blandit laoreet.;Offshore;France;Casablanca;1  avenue Hassan II;80000;05 22 88 96 80;05 22 48 64 32;example@mail.com;8h30 - 16h;Non
1453;-7.620346;32.99806;Settat;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer quis pharetra leo. Sed blandit blandit laoreet.;Publique;Spain;Settat;25  Lotissement Hatim. Bd Hassan II.;80000;05 23 72 93 60;05 23 72 24 05;example@mail.com;8h30 - 16h;Non
1454;-7.371499;33.697101;Mohammedia;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer quis pharetra leo. Sed blandit blandit laoreet.;Prive;Morocco;Mohammedia;93  Bd la Résistance  Hassania II  El Alia;80000;05 29 01 06 84;05 29 01 06 83;example@mail.com;8h30 - 16h;Non
1455;-7.6258411;33.5776283;CASA ABDELMOUMEN;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer quis pharetra leo. Sed blandit blandit laoreet.;Offshore;France;Casablanca;72  Angle Bd Abdelmoumen et Rue Ram Allah;80000;05 22 54 51 05;05 22 54 51 06;example@mail.com;8h30 - 16h;Oui
1460;-7.636201;33.590858;CASA ANFA;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer quis pharetra leo. Sed blandit blandit laoreet.;Publique;Spain;Casablanca;155  bd d'Anfa;80000;05 22 95 72 40;05 22 94 33 00;example@mail.com;8h30 - 16h;Non
1461;-7.673049;33.560574;EL OULFA;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer quis pharetra leo. Sed blandit blandit laoreet.;Prive;Morocco;Casablanca;Boulevard Oum Errabii. Groupe 1. « Résidence « Les jardins Oum Errabii ».;80000;05 22 93 68 30;05 22 93 45 24;example@mail.com;8h30 - 16h;Non
